index,plan_name,graph2plan_id,source
0,plan_00000,0,train
1,plan_00001,1,train
2,plan_00002,4,train
3,plan_00003,5,train
4,plan_00004,6,train
5,plan_00005,7,train
6,plan_00006,8,train
7,plan_00007,9,train
8,plan_00008,10,train
9,plan_00009,11,train
10,plan_00010,12,train
11,plan_00011,13,train
12,plan_00012,14,train
13,plan_00013,15,train
14,plan_00014,16,train
15,plan_00015,17,train
16,plan_00016,18,train
17,plan_00017,19,train
18,plan_00018,21,train
19,plan_00019,22,train
20,plan_00020,23,train
21,plan_00021,24,train
22,plan_00022,25,train
23,plan_00023,26,train
24,plan_00024,27,train
25,plan_00025,28,train
26,plan_00026,30,train
27,plan_00027,31,train
28,plan_00028,32,train
29,plan_00029,33,train
30,plan_00030,34,train
31,plan_00031,35,train
32,plan_00032,36,train
33,plan_00033,37,train
34,plan_00034,40,train
35,plan_00035,41,train
36,plan_00036,42,train
37,plan_00037,43,train
38,plan_00038,44,train
39,plan_00039,45,train
40,plan_00040,47,train
41,plan_00041,48,train
42,plan_00042,50,train
43,plan_00043,53,train
44,plan_00044,55,train
45,plan_00045,56,train
46,plan_00046,57,train
47,plan_00047,58,train
48,plan_00048,59,train
49,plan_00049,60,train
50,plan_00050,61,train
51,plan_00051,62,train
52,plan_00052,63,train
53,plan_00053,64,train
54,plan_00054,65,train
55,plan_00055,66,train
56,plan_00056,67,train
57,plan_00057,68,train
58,plan_00058,70,train
59,plan_00059,71,train
60,plan_00060,73,train
61,plan_00061,74,train
62,plan_00062,75,train
63,plan_00063,76,train
64,plan_00064,77,train
65,plan_00065,78,train
66,plan_00066,79,train
67,plan_00067,80,train
68,plan_00068,81,train
69,plan_00069,82,train
70,plan_00070,83,train
71,plan_00071,84,train
72,plan_00072,85,train
73,plan_00073,89,train
74,plan_00074,90,train
75,plan_00075,91,train
76,plan_00076,92,train
77,plan_00077,93,train
78,plan_00078,94,train
79,plan_00079,97,train
80,plan_00080,98,train
81,plan_00081,100,train
82,plan_00082,101,train
83,plan_00083,102,train
84,plan_00084,103,train
85,plan_00085,104,train
86,plan_00086,105,train
87,plan_00087,106,train
88,plan_00088,107,train
89,plan_00089,108,train
90,plan_00090,110,train
91,plan_00091,111,train
92,plan_00092,112,train
93,plan_00093,113,train
94,plan_00094,115,train
95,plan_00095,116,train
96,plan_00096,117,train
97,plan_00097,118,train
98,plan_00098,119,train
99,plan_00099,120,train
100,plan_00100,121,train
101,plan_00101,122,train
102,plan_00102,124,train
103,plan_00103,127,train
104,plan_00104,128,train
105,plan_00105,129,train
106,plan_00106,130,train
107,plan_00107,131,train
108,plan_00108,133,train
109,plan_00109,135,train
110,plan_00110,136,train
111,plan_00111,137,train
112,plan_00112,138,train
113,plan_00113,140,train
114,plan_00114,141,train
115,plan_00115,142,train
116,plan_00116,143,train
117,plan_00117,144,train
118,plan_00118,146,train
119,plan_00119,148,train
120,plan_00120,149,train
121,plan_00121,150,train
122,plan_00122,151,train
123,plan_00123,152,train
124,plan_00124,153,train
125,plan_00125,154,train
126,plan_00126,155,train
127,plan_00127,156,train
128,plan_00128,157,train
129,plan_00129,158,train
130,plan_00130,159,train
131,plan_00131,160,train
132,plan_00132,161,train
133,plan_00133,162,train
134,plan_00134,164,train
135,plan_00135,165,train
136,plan_00136,166,train
137,plan_00137,167,train
138,plan_00138,168,train
139,plan_00139,170,train
140,plan_00140,171,train
141,plan_00141,172,train
142,plan_00142,173,train
143,plan_00143,174,train
144,plan_00144,175,train
145,plan_00145,177,train
146,plan_00146,178,train
147,plan_00147,179,train
148,plan_00148,180,train
149,plan_00149,181,train
150,plan_00150,182,train
151,plan_00151,183,train
152,plan_00152,184,train
153,plan_00153,186,train
154,plan_00154,187,train
155,plan_00155,188,train
156,plan_00156,189,train
157,plan_00157,190,train
158,plan_00158,191,train
159,plan_00159,192,train
160,plan_00160,193,train
161,plan_00161,194,train
162,plan_00162,195,train
163,plan_00163,196,train
164,plan_00164,197,train
165,plan_00165,198,train
166,plan_00166,200,train
167,plan_00167,201,train
168,plan_00168,202,train
169,plan_00169,203,train
170,plan_00170,204,train
171,plan_00171,206,train
172,plan_00172,207,train
173,plan_00173,209,train
174,plan_00174,210,train
175,plan_00175,211,train
176,plan_00176,214,train
177,plan_00177,216,train
178,plan_00178,217,train
179,plan_00179,218,train
180,plan_00180,220,train
181,plan_00181,221,train
182,plan_00182,223,train
183,plan_00183,225,train
184,plan_00184,226,train
185,plan_00185,227,train
186,plan_00186,228,train
187,plan_00187,230,train
188,plan_00188,231,train
189,plan_00189,232,train
190,plan_00190,233,train
191,plan_00191,234,train
192,plan_00192,235,train
193,plan_00193,236,train
194,plan_00194,238,train
195,plan_00195,239,train
