index,plan_name,graph2plan_id,source,source_index
0,plan_00000,0,train,5755
1,plan_00001,1,train,14342
2,plan_00002,4,train,11559
3,plan_00003,5,train,6384
4,plan_00004,6,train,4696
5,plan_00005,7,train,7000
6,plan_00006,8,train,2796
7,plan_00007,9,train,3117
8,plan_00008,10,train,679
9,plan_00009,11,train,7036
10,plan_00010,12,train,12341
11,plan_00011,13,train,11468
12,plan_00012,14,train,6645
13,plan_00013,15,train,878
14,plan_00014,16,train,11740
15,plan_00015,17,train,7112
16,plan_00016,18,train,13761
17,plan_00017,19,train,4517
18,plan_00018,20,test,2060
19,plan_00019,21,train,49
20,plan_00020,22,train,1478
21,plan_00021,23,train,10633
22,plan_00022,24,train,10307
23,plan_00023,25,train,90
24,plan_00024,26,train,3321
25,plan_00025,27,train,6791
26,plan_00026,28,train,10183
27,plan_00027,29,test,359
28,plan_00028,30,train,10195
29,plan_00029,31,train,2870
30,plan_00030,32,train,12052
31,plan_00031,33,train,4440
32,plan_00032,34,train,1860
33,plan_00033,35,train,4317
34,plan_00034,36,train,10938
35,plan_00035,37,train,119
36,plan_00036,38,test,855
37,plan_00037,39,test,772
38,plan_00038,40,train,10829
39,plan_00039,41,train,7167
40,plan_00040,42,train,1500
41,plan_00041,43,train,1246
42,plan_00042,44,train,8751
43,plan_00043,45,train,5216
44,plan_00044,46,test,1417
45,plan_00045,47,train,4694
46,plan_00046,48,train,11940
47,plan_00047,49,test,1690
48,plan_00048,50,train,8905
49,plan_00049,51,test,1461
50,plan_00050,52,test,2260
51,plan_00051,53,train,8969
52,plan_00052,54,test,1538
53,plan_00053,55,train,3441
54,plan_00054,56,train,643
55,plan_00055,57,train,592
56,plan_00056,58,train,2793
57,plan_00057,59,train,243
58,plan_00058,60,train,4457
59,plan_00059,61,train,4178
60,plan_00060,62,train,9721
61,plan_00061,63,train,8645
62,plan_00062,64,train,2103
63,plan_00063,65,train,13955
64,plan_00064,66,train,1274
65,plan_00065,67,train,5977
66,plan_00066,68,train,4700
67,plan_00067,69,test,1256
68,plan_00068,70,train,8213
69,plan_00069,71,train,13350
70,plan_00070,72,test,2476
71,plan_00071,73,train,4208
72,plan_00072,74,train,8190
73,plan_00073,75,train,7136
74,plan_00074,76,train,7338
75,plan_00075,77,train,8793
76,plan_00076,78,train,9723
77,plan_00077,79,train,6730
78,plan_00078,80,train,675
79,plan_00079,81,train,2248
80,plan_00080,82,train,12455
81,plan_00081,83,train,6509
82,plan_00082,84,train,5315
83,plan_00083,85,train,11016
84,plan_00084,89,train,8138
85,plan_00085,90,train,5176
86,plan_00086,91,train,5333
87,plan_00087,92,train,10482
88,plan_00088,93,train,9151
89,plan_00089,94,train,5174
90,plan_00090,95,test,117
91,plan_00091,96,test,891
92,plan_00092,97,train,2351
93,plan_00093,98,train,1238
94,plan_00094,99,test,2128
95,plan_00095,100,train,10745
96,plan_00096,101,train,262
97,plan_00097,102,train,10842
98,plan_00098,103,train,9237
99,plan_00099,104,train,2614
100,plan_00100,105,train,7952
101,plan_00101,106,train,9594
102,plan_00102,107,train,1530
103,plan_00103,108,train,12858
104,plan_00104,110,train,4071
105,plan_00105,111,train,12421
106,plan_00106,112,train,9905
107,plan_00107,113,train,2335
108,plan_00108,114,test,1847
109,plan_00109,115,train,1556
110,plan_00110,116,train,5145
111,plan_00111,117,train,13994
112,plan_00112,118,train,6292
113,plan_00113,119,train,11070
114,plan_00114,120,train,5950
115,plan_00115,121,train,10085
116,plan_00116,122,train,1551
117,plan_00117,123,test,291
118,plan_00118,124,train,7695
119,plan_00119,125,test,1728
120,plan_00120,126,test,2450
121,plan_00121,127,train,9907
122,plan_00122,128,train,7670
123,plan_00123,129,train,10478
124,plan_00124,130,train,7196
125,plan_00125,131,train,1323
126,plan_00126,132,test,1722
127,plan_00127,133,train,4748
128,plan_00128,134,test,2466
129,plan_00129,135,train,5093
130,plan_00130,136,train,6445
131,plan_00131,137,train,11484
132,plan_00132,138,train,764
133,plan_00133,139,test,368
134,plan_00134,140,train,12680
135,plan_00135,141,train,2312
136,plan_00136,142,train,12057
137,plan_00137,143,train,12614
138,plan_00138,144,train,7477
139,plan_00139,145,test,538
140,plan_00140,146,train,8280
141,plan_00141,147,test,702
142,plan_00142,148,train,12929
143,plan_00143,149,train,3507
144,plan_00144,150,train,3561
145,plan_00145,151,train,7330
146,plan_00146,152,train,4961
147,plan_00147,153,train,4507
148,plan_00148,154,train,5389
149,plan_00149,155,train,11758
150,plan_00150,156,train,889
151,plan_00151,157,train,9529
152,plan_00152,158,train,4591
153,plan_00153,159,train,12661
154,plan_00154,160,train,11641
155,plan_00155,161,train,7803
156,plan_00156,162,train,12987
157,plan_00157,163,test,1387
158,plan_00158,164,train,10980
159,plan_00159,165,train,8823
160,plan_00160,166,train,12659
161,plan_00161,167,train,4281
162,plan_00162,168,train,12821
163,plan_00163,169,test,2135
164,plan_00164,170,train,927
165,plan_00165,171,train,14409
166,plan_00166,172,train,6773
167,plan_00167,173,train,4289
168,plan_00168,174,train,13541
169,plan_00169,175,train,2459
170,plan_00170,177,train,14146
171,plan_00171,178,train,13677
172,plan_00172,179,train,12376
173,plan_00173,180,train,3789
174,plan_00174,181,train,6720
175,plan_00175,182,train,5692
176,plan_00176,183,train,2415
177,plan_00177,184,train,2659
178,plan_00178,185,test,1748
179,plan_00179,186,train,6562
180,plan_00180,187,train,11577
181,plan_00181,188,train,14119
182,plan_00182,189,train,8789
183,plan_00183,190,train,3644
184,plan_00184,191,train,6621
185,plan_00185,192,train,10248
186,plan_00186,193,train,9836
187,plan_00187,194,train,8238
188,plan_00188,195,train,9638
189,plan_00189,196,train,9722
190,plan_00190,197,train,12662
191,plan_00191,198,train,9884
192,plan_00192,199,test,271
193,plan_00193,200,train,5002
194,plan_00194,201,train,9745
195,plan_00195,202,train,6278
196,plan_00196,203,train,7158
197,plan_00197,204,train,309
198,plan_00198,205,test,2416
199,plan_00199,206,train,12679
200,plan_00200,207,train,7214
201,plan_00201,208,test,566
202,plan_00202,209,train,998
203,plan_00203,210,train,13376
204,plan_00204,211,train,8193
205,plan_00205,212,test,1450
206,plan_00206,213,test,65
207,plan_00207,214,train,5387
208,plan_00208,215,test,584
209,plan_00209,216,train,10235
210,plan_00210,217,train,5070
211,plan_00211,218,train,12426
212,plan_00212,219,test,1998
213,plan_00213,220,train,8462
214,plan_00214,221,train,5230
215,plan_00215,222,test,2455
216,plan_00216,223,train,9316
217,plan_00217,224,test,1715
218,plan_00218,225,train,13669
219,plan_00219,226,train,9494
220,plan_00220,227,train,9672
221,plan_00221,228,train,9515
222,plan_00222,229,test,1878
223,plan_00223,230,train,10979
224,plan_00224,231,train,13655
225,plan_00225,232,train,1869
226,plan_00226,233,train,14080
227,plan_00227,234,train,8979
228,plan_00228,235,train,8723
229,plan_00229,236,train,1233
230,plan_00230,237,test,2025
231,plan_00231,238,train,11532
232,plan_00232,239,train,11646
233,plan_00233,240,train,11560
234,plan_00234,241,train,2362
235,plan_00235,242,train,6323
236,plan_00236,243,train,4574
237,plan_00237,244,train,1761
238,plan_00238,245,train,2322
239,plan_00239,246,train,122
240,plan_00240,247,train,9335
241,plan_00241,248,train,4940
242,plan_00242,249,train,9467
243,plan_00243,250,train,6014
244,plan_00244,251,test,789
245,plan_00245,252,train,9048
246,plan_00246,253,train,7901
247,plan_00247,254,train,12801
248,plan_00248,255,train,13990
249,plan_00249,256,train,13373
250,plan_00250,257,train,3688
251,plan_00251,258,train,10806
252,plan_00252,259,train,4554
253,plan_00253,260,train,2361
254,plan_00254,261,train,3313
255,plan_00255,262,train,850
256,plan_00256,263,train,13480
257,plan_00257,264,test,1787
258,plan_00258,265,train,8134
259,plan_00259,266,test,530
260,plan_00260,267,train,2851
261,plan_00261,268,train,12625
262,plan_00262,269,train,9179
263,plan_00263,270,train,1015
264,plan_00264,271,train,10480
265,plan_00265,272,test,470
266,plan_00266,273,test,45
267,plan_00267,274,train,7895
268,plan_00268,275,train,14037
269,plan_00269,276,train,6223
270,plan_00270,277,train,7932
271,plan_00271,278,train,9317
272,plan_00272,279,train,8010
273,plan_00273,280,train,4
274,plan_00274,281,train,567
275,plan_00275,282,train,12706
276,plan_00276,283,train,1474
277,plan_00277,284,test,482
278,plan_00278,285,train,13559
279,plan_00279,286,train,12899
280,plan_00280,287,test,2006
281,plan_00281,288,train,14386
282,plan_00282,289,train,7122
283,plan_00283,290,test,722
284,plan_00284,291,train,871
285,plan_00285,293,train,0
